user_tna,response,business_area_id,question_id,user_id,weightage,doc_id
YEmSBx2bBnehEa9qe2S1,4,DVhvy8x4RkF1e33R0LCW,Brrpjhx6gb5C0VpZyBJp,ZmaM58fwdceFEtaBrRIqd3xvgWf2,5,0bJNnKoVG6tfGg49ipU0
Pp5bVauC0lIflNzv5bt3,4,5XJc8NmM7JP4byHGNGQ9,tcbdCLEBGwr1SUHvzDWq,To8o4sNi9zVCTxcdiwLJB4HSjCI3,5,0dAmyI6qU2Ffj929UB5u
LVfUdrYr7cJBNynq9q6c,3,fgT0OfrgvOqwyNV5U9O4,O8zellt0sTgDcsvmKlvX,ielRtq6SWeZf1kU9DqP4DCeCfKV2,5,0fpjHPPWOQrEHzOBiCNH
M1OEENCfJuH56GyoKEXD,3,DVhvy8x4RkF1e33R0LCW,SGS1jENxLhfH7NAX0oD0,ys4Osac7BnWZcIGGzi9hnM8fVgn2,5,0iqyaAWb3A8DljticoQ7
590rF35J5HlBTCFjBDlw,2,fgT0OfrgvOqwyNV5U9O4,J2SgO4EsBo8B3MtN1o1j,KpxDdc6WKcRuFAR8lgsjaKeCrUh1,5,0lMK2VJXU9pTBqdtkdhT
m3fzd7GpEKqiv1mBn6LS,5,DVhvy8x4RkF1e33R0LCW,BOSagTz1DEwdHR2ux2Rm,NiLuzpp3tyOSBKmESh2IbX5IBbO2,5,0mfFxwh0NjPQ6HzfpdCW
r7C21shb1aWyOlGFaIj1,4,DVhvy8x4RkF1e33R0LCW,G3ldU2nFffY39EAieUQN,tNts4ruCZlWDTBaPQjbXsa12gt12,5,0nUjJa0kWVjSIdEx9XCS
GwmQjgT1nlOctYWKKaf2,2,DVhvy8x4RkF1e33R0LCW,G3ldU2nFffY39EAieUQN,mPtZrbuOPzZcc2dFtwqcp3WY0Dl1,5,0tPDCZH3n4gFdUGqiOn9
PnuKlvsbfOiTO5Qs6lCr,3,DVhvy8x4RkF1e33R0LCW,Au8JDIxiuHu8vsCtv4ok,O8QVzBM7nvQPNnBJWMy6SKHDTNl1,5,0wkdCNVtC0aj2zywEKgk
YJpgQS73O8t7eQzTtRGT,2,DVhvy8x4RkF1e33R0LCW,liVe9GKBQud62ZewdiBM,ytiJ8UFoVLT6SqWyltSMQL1cTVE3,5,0wpTEJWJAGdxvPjruVCt
qEVjIWOV6VNkrVFMboQ2,3,5XJc8NmM7JP4byHGNGQ9,LQLIVlksxormTmLxeZHf,pO4QvLkDNcXx6KeFznIux0qpoSa2,5,119UmvIOMul9zQLEYrR0
UERX8lmUZV4w2ZmwKvOO,2,DVhvy8x4RkF1e33R0LCW,F6uYbv01RK5gB5bxhF8d,2nknZIdftuV5TpOVoh6Z7DHzIYQ2,5,13geCKxe4WW7sBOZtBrr
AlAL7qJchFQw7ZWsJL8O,3,5XJc8NmM7JP4byHGNGQ9,RKvhCAmzgXxAeQ1G5MdY,KH0Fj3Ku1WNtCAa5p8QvwgrHulh1,5,15ZluN0LkcHZm1e9dcHg
ZqFU4SNZTEjespP1Y2k5,5,DVhvy8x4RkF1e33R0LCW,HoK4V1EJvhZhtalTPBTR,1z82JCiGUgQfoRuoYaa1AlCnwcq2,5,17SB3cd4CoPKJPayu84O
cIS3ofGVsMYSBxK3nUwy,4,fgT0OfrgvOqwyNV5U9O4,yMISmpJH9rM0Z3U8A2zb,QkGIxap4CjSntyzRB74NMcuQosb2,5,1Cp6oDcmXemDOcKYqLvS
r045EQDtfhCrD41eZqVe,2,fgT0OfrgvOqwyNV5U9O4,49qm0aciuh5J6uL7Sy66,Eo1L2swIsxQA5Bz3eJQ8TcOvIvZ2,5,1DDWrjZIWYMp4Zrt8nop
UznpDfH8uhma68xlHcF9,4,5XJc8NmM7JP4byHGNGQ9,RKvhCAmzgXxAeQ1G5MdY,HYJvkfatcCcheAfCx5zkSQ5t7ku1,5,1FPF2t7oapRkFcsT3blg
2Nvbo1DgM9zWYbUuRtsF,4,5XJc8NmM7JP4byHGNGQ9,ix0Z4AienURQUgKY1gdZ,uQfr8CYTLhOe51KzXMzui5KzdPk1,5,1Fs2h3zo2PKkVZtNFUHt
PnuKlvsbfOiTO5Qs6lCr,2,DVhvy8x4RkF1e33R0LCW,Q1yPH0O5OyLuI2jYZs1p,O8QVzBM7nvQPNnBJWMy6SKHDTNl1,5,1IfVXCFHJBFfNOuUecsi
9NijZqZOOom8yZR2ab5H,5,DVhvy8x4RkF1e33R0LCW,9FJoaAixlCHft7xDKkZe,pmnVqGMVZjfvYqMbx9CmqZxpUlv1,5,1KCa7dj7lnHE2qnc6Idv
fRIFElGYLraNxYX8Xxkk,2,DVhvy8x4RkF1e33R0LCW,xOwkiwsfazRUBQ8QQpXI,3zqT5cVQwfM3R8wQ8H3jHH1VLYt1,5,1Mv1bVMsRMhMBdMGuDHk
rUR6FsV9VkahVrXDGj3m,1,DVhvy8x4RkF1e33R0LCW,aiaqT61lYJjRdk6KaSUs,9WKeAnyrCthrlQQZjRG38rdjzCj1,5,1NjvE1R8iHA7XSz5j717
GrlzHnmDQKrHVksGzaL7,4,fgT0OfrgvOqwyNV5U9O4,pYXWYkgsLAghMzfSp2IV,S0QaAK5g5CZMxax3jgdCcBbCZSk1,5,1R0DXLULNjGklCzpggDT
L300tX62aTEqjOVuR6C3,3,5XJc8NmM7JP4byHGNGQ9,iENN2qiTC7HBAs0sgPeF,19fvDTRL5DdAAGHUsLZrlQTFYSf1,5,1Vwu9O3H0vw7BR9Lx8PC
Oeci1Q9AIXEGyYD56N9l,3,5XJc8NmM7JP4byHGNGQ9,ovpPGhbNPeDKN2Vr8ybJ,6rhLjWRPisapR6OlD05QNOOyXWH3,5,1anELmz9CBsrexsDWDxw
VpLZNw4FAqRZFVoxtErp,1,fgT0OfrgvOqwyNV5U9O4,RNhKR1v9NdjqLtQDmRwz,wStuiciHRnR2M2XiyNOOfTaDIo12,5,1bzp6WRn7EXwyZraDhwS
vGYbyditrU4r3cTIdf0l,3,5XJc8NmM7JP4byHGNGQ9,ydIGluJmvzSaAYwKqbS0,smn6n5EeK5NKIMUVjZfphwxV6Vg2,5,1mQsBf8ftAL9CWZpoYig
rxfjFMYQmZpi4ph5zolS,2,fgT0OfrgvOqwyNV5U9O4,T8xGiQpUhg7YPqoFhEKw,AnqLRONEWehBvtpdhKwWejKfCP43,5,1mXzLd19HDvRbCkq0nUv
XQzHwimobhKkDoMXLrRq,1,fgT0OfrgvOqwyNV5U9O4,vM6N3xFN64cskHx9mx1d,wPwCIyGbZAbE1CnNota0X8Yp03r2,5,1pt5ZOZNGG379403cTcW
IHYkzcDm6e5jizItuYjG,5,DVhvy8x4RkF1e33R0LCW,86tRmahDIhZlKjhMFfrE,wb7O7T7qUlc1hiO2fjxu0XVrua13,5,1q9SrnNAwaY9Rvo18JL6
VpLZNw4FAqRZFVoxtErp,2,fgT0OfrgvOqwyNV5U9O4,Cx7G5obFn7sdoBOasriF,wStuiciHRnR2M2XiyNOOfTaDIo12,5,1rtRBoqL8nDp0CSoEnRs
YJpgQS73O8t7eQzTtRGT,5,DVhvy8x4RkF1e33R0LCW,O6iVQdsly9Yl8wejL0Vx,ytiJ8UFoVLT6SqWyltSMQL1cTVE3,5,1v3wWfsBjIsQtbv9yZjx
AlAL7qJchFQw7ZWsJL8O,1,5XJc8NmM7JP4byHGNGQ9,mYz0Mqyteqs1BmsKugKB,KH0Fj3Ku1WNtCAa5p8QvwgrHulh1,5,1xKMkqYI1YtXJJAJSG7l
98M4OHspKA2gUCr2COx6,3,DVhvy8x4RkF1e33R0LCW,Kay1M1FvwSlfgs4G74xH,FABLneKSAa2gyINWqBt3,5,1y5nQG3rJdNHDl3VHv9W
O2hkHgibXRTnCFQXX6uU,3,fgT0OfrgvOqwyNV5U9O4,5VZB1ClbnYm3bCOzznx6,eFlHh9WGs6aEDa3cQfKlyvoaYZq1,5,1ymCtWMUFIKYm3P2jKQr
XQzHwimobhKkDoMXLrRq,2,fgT0OfrgvOqwyNV5U9O4,u96Ae9CCRN0yts7OhWrO,wPwCIyGbZAbE1CnNota0X8Yp03r2,5,22B1nUYth30QtoGtVIPU
vGYbyditrU4r3cTIdf0l,3,5XJc8NmM7JP4byHGNGQ9,SwjiKVJ9jlB8yjvaxXmH,smn6n5EeK5NKIMUVjZfphwxV6Vg2,5,22ekFPkkJXRivLdTNiau
bHbW6B5IqxIFFKPkKVtN,1,DVhvy8x4RkF1e33R0LCW,Eor57XCyWKkLS1U21gys,5zm7Ke3WR2UEvZ5vnTEHtX7hJHH2,5,29bsBLpKmtx6shSOd9tE
tdFNakoRWKzvSFsXz0XC,4,fgT0OfrgvOqwyNV5U9O4,h5usH7RkF5G2a333DTku,W7QJ4HWLyhffbdw3juKGKdYRhcD3,5,2B076YSVGe8ci3EOscOd
LVfUdrYr7cJBNynq9q6c,2,fgT0OfrgvOqwyNV5U9O4,MtO4Nb31XpolGXKUXzOV,ielRtq6SWeZf1kU9DqP4DCeCfKV2,5,2El7cl3u5Pprd2U8VacL
bI7gPAF5nB9o6APqhTRP,4,fgT0OfrgvOqwyNV5U9O4,syF21kBnzfDUKQPLnHRt,qmoyuPJBHugKI1d3kx7Ej4yTffH3,5,2Fhpt0ED0TpVZFp9mjdU
9nhNNLm4GAPEQxpD2df4,4,5XJc8NmM7JP4byHGNGQ9,mYz0Mqyteqs1BmsKugKB,uz3tYfOTpnR2x6gdygZOeO5pnTf1,5,2KbcnmXT8Ispc5n0gy59
JtcxDLFHdRsOFy9wd31E,1,DVhvy8x4RkF1e33R0LCW,wGkW9lDnKKm5xRBFnklp,IFDm54DyLvVZ0WZSjt0zTxH47bo1,5,2PWftcvHvQ53GqKUNdrl
zZagtNTSLjjcj2nNXUhp,1,DVhvy8x4RkF1e33R0LCW,Au8JDIxiuHu8vsCtv4ok,0OzBKp9rdDgJsjxe9PMGdI8OSeG2,5,2k6nAPgOhCbS1YZli99Z
tdFNakoRWKzvSFsXz0XC,4,fgT0OfrgvOqwyNV5U9O4,j7jCXPFs9Wtj3neXbAjm,W7QJ4HWLyhffbdw3juKGKdYRhcD3,5,2kuBTSVirWg85aVrz6Ud
m3fzd7GpEKqiv1mBn6LS,4,DVhvy8x4RkF1e33R0LCW,XGJdR1sdAhPf8AVe3WI1,NiLuzpp3tyOSBKmESh2IbX5IBbO2,5,2lUyJkUOWisWL5xttTpO
9nhNNLm4GAPEQxpD2df4,4,5XJc8NmM7JP4byHGNGQ9,EMUU0CLgWLAjsBSmkrTb,uz3tYfOTpnR2x6gdygZOeO5pnTf1,5,2oRjJZUbMHT8G0ReyFnF
gDNPCYVmQCHNAS5Qfs8p,2,5XJc8NmM7JP4byHGNGQ9,FC12z9Qpvu6s7KO5fCSz,kDxK70GSegYFTjKGdwp426GlI9d2,5,2rKcO7OEv16sKfRFccuu
bL9IqwqRODJYilqIMg4B,3,DVhvy8x4RkF1e33R0LCW,7xGXdCxLQ1tgksaPUVIj,MQYXfBhJB9XB9McxnPYl3na2ABA2,5,2sMQq3CFCXtHuLcnleat
fRIFElGYLraNxYX8Xxkk,5,DVhvy8x4RkF1e33R0LCW,4mlQZyZ1obWhdC0EM601,3zqT5cVQwfM3R8wQ8H3jHH1VLYt1,5,2sgfnfmEQPHn6dJKXkEu
SUmtDSKdSTIQjwh9hvGG,5,5XJc8NmM7JP4byHGNGQ9,YhleN2IBPLeSghGnSCHB,GwDmDVX06ddXBgnnqFioMJizRTG3,5,2svIcLKbOMloflEOJf9c
0veIMS0uBJjKUJdB4J54,2,5XJc8NmM7JP4byHGNGQ9,sbKBHkdmBX0MmF833EWG,P826jMa6MjX1bsbNvzrQwb5OBNq2,5,30gNI9Awt15mplaEaKV9
aAs2bY0D9VgFp8k9VPae,1,fgT0OfrgvOqwyNV5U9O4,vM6N3xFN64cskHx9mx1d,gGKtZyFcdeSbaTBIPSIaFybQsAv1,5,324tswQ3Ij1laQZbKrxy
m3fzd7GpEKqiv1mBn6LS,4,DVhvy8x4RkF1e33R0LCW,9XOCrbdnHNcTk30OyVDf,NiLuzpp3tyOSBKmESh2IbX5IBbO2,5,347fUQTvlAo85hiLvfcu
HC2i69X987Lufo0suev5,3,fgT0OfrgvOqwyNV5U9O4,J2SgO4EsBo8B3MtN1o1j,vgBYIzRj4pVUuGWBXiEb0XEVuwJ3,5,35DGdg4h8BahmJYLJc3k
rj2sdY2VyWEugWRaikhU,1,DVhvy8x4RkF1e33R0LCW,8NPpqQFtsXh6bWZzuOBP,zTAZngLt0tRqvccCRsju6VSVvBI3,5,35Nia8gT4rHSl6OJ5hIH
AlAL7qJchFQw7ZWsJL8O,4,5XJc8NmM7JP4byHGNGQ9,nFKvVpJ146i5R955I9Gw,KH0Fj3Ku1WNtCAa5p8QvwgrHulh1,5,35lZbc1vEEZxhpU8dUC2
9QGk2zdiPYhoTSELBWTQ,2,5XJc8NmM7JP4byHGNGQ9,ix0Z4AienURQUgKY1gdZ,W8kHAYChrHenfADfh4PzC3Z22v83,5,37MsM6YBZ0tXgFHuyo49
O2hkHgibXRTnCFQXX6uU,3,fgT0OfrgvOqwyNV5U9O4,PShupgNV1ud3U7JTpHhb,eFlHh9WGs6aEDa3cQfKlyvoaYZq1,5,37VLbgj3JjxcLnkaC7kL
tPAVzcw1R2jSSUhh1UJN,1,5XJc8NmM7JP4byHGNGQ9,iEPSx2FDRORW55Vtw7Ny,CJOaMQXpnnSAV7b8veWcm0UN2Sh1,5,3Br7Wgb4RmZz8WXWoZsd
6TD1jHLF5GZm7ygEAhhH,5,fgT0OfrgvOqwyNV5U9O4,5vJO29HMhQFFkfjnhwHF,Fof7REFL39O2LeeWIy65jWhP1Qq1,5,3C1wdGGk37os27mz7iCQ
YEmSBx2bBnehEa9qe2S1,3,DVhvy8x4RkF1e33R0LCW,A8Nk642hffXYOKUifpMm,ZmaM58fwdceFEtaBrRIqd3xvgWf2,5,3CNRvbY9dei60mj3RxLH
CxlsKTZS5yxP7nJB4eyL,3,fgT0OfrgvOqwyNV5U9O4,2chfb5AFWI4hMJrgwFiR,SjmKqpZEPLXjpUD0NebF8sTbhNT2,5,3G2YbRVAc0uTVmEOaf46
hq4qiSbNocL8dpo0w0Lp,1,5XJc8NmM7JP4byHGNGQ9,GUbuHjCEIT4PM5Sg6Sls,qqO37uLDAocRnSeh27r6HEBYjiB3,5,3Ge5710qxExx7AJ2dZ7h
WlEq3P6P2IT2m6eUHh4h,1,5XJc8NmM7JP4byHGNGQ9,mYz0Mqyteqs1BmsKugKB,mNjQEuXtRBPN34tbi5Sv4j9Ijts2,5,3JINHIixMfnNfGUEHVVI
GrlzHnmDQKrHVksGzaL7,4,fgT0OfrgvOqwyNV5U9O4,L2z3AMplW1zAm6umALwi,S0QaAK5g5CZMxax3jgdCcBbCZSk1,5,3KRcE49spYJ5KTSekE9k
fajqhhyyZmQoTKE5KdfX,5,5XJc8NmM7JP4byHGNGQ9,6901T0SL23FxB8ybMLrQ,G4Uj6rUFy4UJKySww6WwoNjMgl53,5,3RQxI5HDy0GVzPgcCzuQ
DCuEW1vkM0g2LxOYwytT,3,fgT0OfrgvOqwyNV5U9O4,j8E5gBXcKLvqsDExPIfr,LDjIHEbH8PQPrm6kuikuQ41WeOz2,5,3RdSCnKQ9UAuyhrr3Jr9
M1KNGutPFuZNaDc6sZuL,1,DVhvy8x4RkF1e33R0LCW,wGkW9lDnKKm5xRBFnklp,qSlajdZMGqS3PfOufUxenMP8XAc2,5,3TGK1QfNB9E4FzCzWHAV
u8vrmievZR6PwFFBzMeA,3,5XJc8NmM7JP4byHGNGQ9,GUbuHjCEIT4PM5Sg6Sls,NulY1xCe4xR3hFfDvYop39LPvC22,5,3TfVmKmbJLIf9181z8U5
bL9IqwqRODJYilqIMg4B,4,DVhvy8x4RkF1e33R0LCW,JGM2XHNQFAW2rR0asDyu,MQYXfBhJB9XB9McxnPYl3na2ABA2,5,3Tzz3v7KMI9nXVPXkVeZ
tPAVzcw1R2jSSUhh1UJN,3,5XJc8NmM7JP4byHGNGQ9,ea9dhyQLpZQ2G52ewsxQ,CJOaMQXpnnSAV7b8veWcm0UN2Sh1,5,3Wnsw8OyDMXHiNx7ljtJ
vGYbyditrU4r3cTIdf0l,2,5XJc8NmM7JP4byHGNGQ9,FC12z9Qpvu6s7KO5fCSz,smn6n5EeK5NKIMUVjZfphwxV6Vg2,5,3XA9tDo3Aj44T1S3BV2m
L300tX62aTEqjOVuR6C3,1,5XJc8NmM7JP4byHGNGQ9,ix0Z4AienURQUgKY1gdZ,19fvDTRL5DdAAGHUsLZrlQTFYSf1,5,3aSmwUiBCL6X9Mqa4rAh
tPAVzcw1R2jSSUhh1UJN,4,5XJc8NmM7JP4byHGNGQ9,dlijZFWEanM2nzm5VLQW,CJOaMQXpnnSAV7b8veWcm0UN2Sh1,5,3bpuVwRvAIk8lFNsaxu6
bI7gPAF5nB9o6APqhTRP,5,fgT0OfrgvOqwyNV5U9O4,8MsAz9kD23UvlTZgmkvY,qmoyuPJBHugKI1d3kx7Ej4yTffH3,5,3dAAE2k1NCufFo4Vwa7O
r7C21shb1aWyOlGFaIj1,5,DVhvy8x4RkF1e33R0LCW,h2HDmviDM26TaNfxi18V,tNts4ruCZlWDTBaPQjbXsa12gt12,5,3gMXwt4emR8EtGSVjVRQ
2Nvbo1DgM9zWYbUuRtsF,2,5XJc8NmM7JP4byHGNGQ9,BxHSuB2c3ZbxttqYLJHm,uQfr8CYTLhOe51KzXMzui5KzdPk1,5,3gS82qHCEKCb6UuDoJxx
hq4qiSbNocL8dpo0w0Lp,4,5XJc8NmM7JP4byHGNGQ9,ovpPGhbNPeDKN2Vr8ybJ,qqO37uLDAocRnSeh27r6HEBYjiB3,5,3klmdMg8m6Ww6v9Tdq7e
40ZbJOj3vLeWp4U2iDiz,3,5XJc8NmM7JP4byHGNGQ9,EMUU0CLgWLAjsBSmkrTb,q5W07Lw677UAd22LEBs2taNG3yz1,5,3lyBz3jQaRVJQiKTxhsP
YEmSBx2bBnehEa9qe2S1,1,DVhvy8x4RkF1e33R0LCW,6Bvyoxf1bNQAP9h4vgdk,ZmaM58fwdceFEtaBrRIqd3xvgWf2,5,3mh3xa3x6WOqrKobQSqe
9NijZqZOOom8yZR2ab5H,1,DVhvy8x4RkF1e33R0LCW,0d3J1fAK1tHCTQXaEZcj,pmnVqGMVZjfvYqMbx9CmqZxpUlv1,5,3miziF2dtYOx8yMyXRhi
bo4SF4kvhGP8M930yPFV,5,DVhvy8x4RkF1e33R0LCW,GNZjRwLsqSlTpzc3o58B,Ilu1l56rhXR2ONBr8m6SjoJpvhD3,5,3uE4oqv8yu5mb5NaZ5FW
LE1IswSRmVlxiKNdbhDD,3,5XJc8NmM7JP4byHGNGQ9,GUbuHjCEIT4PM5Sg6Sls,L6EGpTDDbCfn99kuuWvH1xUfRNp1,5,3vsYQ3RGP2M9WCaA7cDn
Csr4BRi6WSe7IIyXIMiq,3,DVhvy8x4RkF1e33R0LCW,RjWqOht44J23hkcVN7pu,kkvgyPxwh3YNcI2EoJTpSV1LdYg1,5,3yIbLiRrkFdQnVe69z5P
Csr4BRi6WSe7IIyXIMiq,4,DVhvy8x4RkF1e33R0LCW,kXJgKkTRJAlf6HhfVHAk,kkvgyPxwh3YNcI2EoJTpSV1LdYg1,5,40e4QWcRfcdlyyQkKI0K
LQKedDozrk6KNiwrXVLG,1,fgT0OfrgvOqwyNV5U9O4,Ll16QRdyfDlPK3Uyfiwx,cJiBmQGfsObNWe8FOug2lkFNBtH3,5,42GYbPhAlXuPl20taA6h
uIcexRFG6wmYyTWpupcP,1,5XJc8NmM7JP4byHGNGQ9,dlijZFWEanM2nzm5VLQW,AMVmwVipjnhEoL1aCOADJUKbBM82,5,43b6pQ6Etc7ry6Gxhfhy
YEmSBx2bBnehEa9qe2S1,1,DVhvy8x4RkF1e33R0LCW,dwKpFaXNZ1ByfKWbhlDR,ZmaM58fwdceFEtaBrRIqd3xvgWf2,5,44u5PTsH6YzTMvGEKaHt
ltcHOxMjGwFnc1A2OH4o,5,DVhvy8x4RkF1e33R0LCW,A8Nk642hffXYOKUifpMm,XT50reHAAKgINMUePexkHsHVMns1,5,467Syb7GMtIBuWD0rg5G
VpLZNw4FAqRZFVoxtErp,3,fgT0OfrgvOqwyNV5U9O4,DgAa9B4JKXNgr8xYcKFM,wStuiciHRnR2M2XiyNOOfTaDIo12,5,488kWGk3Z935vZVkqlY4
bHbW6B5IqxIFFKPkKVtN,4,DVhvy8x4RkF1e33R0LCW,blydgefvAwfR23jlFXN0,5zm7Ke3WR2UEvZ5vnTEHtX7hJHH2,5,4BKtzJS3CjVve13Y7v4P
tdFNakoRWKzvSFsXz0XC,5,fgT0OfrgvOqwyNV5U9O4,YJiuGvrh6U3lSnSv2Akr,W7QJ4HWLyhffbdw3juKGKdYRhcD3,5,4BWMLnHkZka3rDXP3JWs
Csr4BRi6WSe7IIyXIMiq,2,DVhvy8x4RkF1e33R0LCW,ODdq9oNrdzS21EidxQgQ,kkvgyPxwh3YNcI2EoJTpSV1LdYg1,5,4Ci02zSpyuxJzZtpNLza
M1KNGutPFuZNaDc6sZuL,3,DVhvy8x4RkF1e33R0LCW,VZKwQ8FFFfKjTS4nTJCl,qSlajdZMGqS3PfOufUxenMP8XAc2,5,4K42ZxfeSX7WeFFtyXZJ
0veIMS0uBJjKUJdB4J54,2,5XJc8NmM7JP4byHGNGQ9,YhleN2IBPLeSghGnSCHB,P826jMa6MjX1bsbNvzrQwb5OBNq2,5,4Lo6SwP8ZwJa0ikKnrlC
CxlsKTZS5yxP7nJB4eyL,5,fgT0OfrgvOqwyNV5U9O4,glidtiLciCHjuNeJkJK7,SjmKqpZEPLXjpUD0NebF8sTbhNT2,5,4OXu36ENjo6kJyWP6Yox
vGYbyditrU4r3cTIdf0l,3,5XJc8NmM7JP4byHGNGQ9,iENN2qiTC7HBAs0sgPeF,smn6n5EeK5NKIMUVjZfphwxV6Vg2,5,4TESGWYej1CWhdtBcZf5
bL9IqwqRODJYilqIMg4B,3,DVhvy8x4RkF1e33R0LCW,kXJgKkTRJAlf6HhfVHAk,MQYXfBhJB9XB9McxnPYl3na2ABA2,5,4bVF9QJMFWTWgAJGyVAQ
DeqpbetrDvTqCIs8rhrg,1,5XJc8NmM7JP4byHGNGQ9,YhleN2IBPLeSghGnSCHB,8FXBRfOrzeXQzbm1nVzI6cBdQ3s1,5,4dBzCazZr0WGkJ5f5NAU
590rF35J5HlBTCFjBDlw,3,fgT0OfrgvOqwyNV5U9O4,h5usH7RkF5G2a333DTku,KpxDdc6WKcRuFAR8lgsjaKeCrUh1,5,4eE1J8hk9WeOaG0dtQTV
6nR0pQPzqYRYTVthfcBh,4,5XJc8NmM7JP4byHGNGQ9,ea9dhyQLpZQ2G52ewsxQ,3pTW10nJTQNmWqGsUqgKZb5Lvzo2,5,4gFqrOErwUA76t66g7Ix
IHYkzcDm6e5jizItuYjG,5,DVhvy8x4RkF1e33R0LCW,qkAEiYC1CwrtJEaiSg8H,wb7O7T7qUlc1hiO2fjxu0XVrua13,5,4hlIU7oayN0Ry9Y2iKVC
HAGG7nfYUbnaJHHLYEEW,4,5XJc8NmM7JP4byHGNGQ9,BxHSuB2c3ZbxttqYLJHm,0jt1zBwc6MaojsX5Wj9HzXBzTti1,5,4hltdyH0MjfCo0neT7Ls
cIS3ofGVsMYSBxK3nUwy,3,fgT0OfrgvOqwyNV5U9O4,AQnHZf9EzWqtwQl1RE9v,QkGIxap4CjSntyzRB74NMcuQosb2,5,4jy4xZ2lZv0qygvGDlJK
